order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
1,1640.0,2025-08-23,152.0,8,239.32,1914.56,Pending,
2,3243.0,2022-12-11,54.0,6,344.5,2067.0,Completed,2024-09-15
3,7763.0,2021-09-16,65.0,8,151.01,1208.08,Cancelled,
4,9825.0,2020-08-11,138.0,8,327.91,2623.28,Pending,
5,3520.0,2025-01-16,440.0,5,119.93,599.65,Completed,2025-11-26
6,8606.0,2020-01-16,231.0,10,424.44,4244.4,Completed,2021-03-27
7,3748.0,2023-03-29,202.0,2,87.69,175.38,Completed,2025-12-09
8,4923.0,2020-01-18,37.0,7,12.53,87.71,Completed,2025-02-06
9,5745.0,2020-09-24,120.0,9,25.24,227.16,Completed,2022-12-15
10,3956.0,2020-05-28,45.0,2,16.91,33.82,Completed,2022-09-06
11,5445.0,2024-07-25,152.0,2,78.76,157.52,Completed,2024-09-01
12,6366.0,2023-03-28,477.0,1,32.34,32.34,Completed,2025-11-25
13,8537.0,2025-03-15,205.0,10,138.64,1386.4,Completed,2025-12-05
14,9682.0,2025-09-14,140.0,5,234.96,1174.8,Completed,2025-12-06
15,4038.0,2021-03-12,208.0,1,444.76,444.76,Cancelled,
16,7472.0,2025-04-03,409.0,1,340.3,340.3,Completed,2025-07-25
17,7873.0,2023-06-23,161.0,10,92.79,927.9,Completed,2023-07-30
18,7277.0,2021-02-26,271.0,2,419.55,839.1,Pending,
19,1747.0,2024-09-29,294.0,1,446.75,446.75,Completed,2024-10-11
20,2789.0,2021-01-15,473.0,5,132.54,662.7,Pending,
21,5844.0,2024-09-28,172.0,8,129.3,1034.4,Completed,2025-09-03
22,100017.0,2024-07-25,156.0,6,171.44,1028.64,Completed,2024-11-13
23,7866.0,2020-04-18,398.0,4,328.47,1313.88,Completed,2020-04-23
24,908.0,2022-01-07,160.0,7,283.8,1986.6,Cancelled,
25,3514.0,2024-04-29,369.0,2,430.97,861.94,Completed,2025-08-09
26,3857.0,2025-02-04,54.0,4,432.88,1731.52,Completed,2025-09-10
27,2536.0,2025-09-05,140.0,8,324.36,2594.88,Completed,2025-12-31
28,3213.0,2023-11-30,406.0,9,172.37,1551.33,Completed,2025-10-07
29,3992.0,2021-09-20,428.0,8,298.19,2385.52,Completed,2024-04-05
30,1516.0,2020-11-16,134.0,4,126.7,506.8,Completed,2021-07-28
31,7891.0,2024-05-18,470.0,8,422.07,3376.56,Completed,2025-05-27
32,5962.0,2021-02-18,287.0,8,393.36,3146.88,Completed,2023-09-23
33,9954.0,2021-04-30,65.0,2,177.92,355.84,Completed,2023-07-14
34,9625.0,2022-02-08,286.0,6,338.8,2032.8,Completed,2024-05-08
35,3419.0,2025-12-31,420.0,10,204.3,2043.0,Completed,2025-12-31
36,4850.0,2023-09-04,340.0,6,221.27,1327.62,Completed,2024-04-27
37,9819.0,2022-08-30,368.0,5,299.33,1496.65,Completed,2023-03-20
38,8864.0,2024-06-16,203.0,10,434.37,4343.7,Completed,2024-10-23
39,9902.0,2020-08-12,427.0,6,15.61,93.66,Cancelled,
40,6381.0,2020-01-30,28.0,1,301.73,301.73,Completed,2021-04-29
41,908.0,2023-08-31,43.0,7,37.84,264.88,Pending,
42,9592.0,2022-02-27,236.0,9,119.78,1078.02,Completed,2025-08-26
43,8426.0,2021-07-24,42.0,2,385.66,771.32,Pending,
44,9111.0,2021-07-27,263.0,4,241.23,964.92,Completed,2023-09-03
45,9388.0,2020-07-28,320.0,9,384.45,3460.05,Completed,2021-09-03
46,3573.0,2020-09-08,38.0,5,301.06,1505.3,Completed,2023-06-16
47,7639.0,2022-09-30,486.0,7,385.95,2701.65,Cancelled,
48,5194.0,2024-09-12,372.0,2,274.63,549.26,Completed,2024-10-18
49,8689.0,2021-07-11,281.0,3,14.34,43.02,Completed,2021-12-25
50,8623.0,2024-06-16,373.0,5,59.1,295.5,Completed,2025-01-30
51,477.0,2022-02-15,80.0,7,121.5,850.5,Completed,2025-08-23
52,7150.0,2022-09-04,312.0,7,230.5,1613.5,Completed,2025-12-27
53,1084.0,2025-03-09,212.0,7,126.89,888.23,Completed,2025-05-23
54,3692.0,2020-10-04,401.0,10,331.71,3317.1,Completed,2022-09-07
55,2293.0,2025-12-25,404.0,3,399.05,1197.15,Completed,2025-12-28
56,7442.0,2021-02-20,467.0,3,174.34,523.02,Completed,2023-09-22
57,9555.0,2023-08-07,134.0,3,421.65,1264.95,Completed,2025-04-27
58,6791.0,2022-11-19,390.0,5,139.07,695.35,Completed,2024-04-10
59,7033.0,2024-11-16,393.0,9,55.27,497.43,Cancelled,
60,1903.0,2023-06-20,39.0,4,103.25,413.0,Completed,2023-07-14
61,9913.0,2025-10-29,363.0,1,147.61,147.61,Completed,2025-11-08
62,5472.0,2023-11-25,163.0,10,305.29,3052.9,Completed,2024-01-21
63,6368.0,2021-11-14,358.0,8,241.14,1929.12,Cancelled,
64,855.0,2023-12-30,88.0,10,48.6,486.0,Completed,2025-12-29
65,4366.0,2024-05-17,489.0,4,213.24,852.96,Completed,2024-11-15
66,6502.0,2020-04-02,203.0,4,69.86,279.44,Completed,2023-08-01
67,1188.0,2020-01-28,275.0,3,282.01,846.03,Completed,2025-07-25
68,7675.0,2022-07-20,395.0,8,436.73,3493.84,Completed,2023-08-24
69,9858.0,2024-01-10,426.0,8,384.46,3075.68,Completed,2024-12-29
70,1106.0,2021-08-21,289.0,5,325.32,1626.6,Completed,2022-02-11
71,1205.0,2025-05-17,33.0,4,444.5,1778.0,Cancelled,
72,7472.0,2022-06-13,7.0,9,194.43,1749.87,Cancelled,
73,6439.0,2025-03-11,491.0,7,51.31,359.17,Completed,2025-12-20
74,4779.0,2021-10-18,374.0,4,97.56,390.24,Completed,2024-11-03
75,704.0,2024-06-17,186.0,4,19.27,77.08,Cancelled,
76,2395.0,2021-11-11,296.0,5,447.43,2237.15,Completed,2024-09-23
77,7641.0,2021-12-02,115.0,2,22.5,45.0,Completed,2025-12-07
78,8548.0,2022-04-10,269.0,2,81.44,162.88,Completed,2024-08-31
79,5786.0,2023-04-05,391.0,9,160.28,1442.52,Completed,2024-07-31
80,2192.0,2020-09-19,4.0,10,204.89,2048.9,Pending,
